dealer	player	hit	stay	double	hit	stay	double
7	19	0.131	0.743	0.137	[524, 44, 3432]	[2972, 400, 628]	[548, 56, 3396]
7	19A	0.543	0.777	0.53	[543, 100, 357]	[777, 78, 145]	[530, 68, 402]
7	20	0.092	0.836	0.065	[368, 12, 3620]	[3344, 384, 272]	[260, 12, 3728]
7	20A	0.577	0.848	0.579	[577, 89, 334]	[848, 74, 78]	[579, 68, 353]
8	2A	0.477	0.259	0.379	[477, 122, 401]	[259, 0, 741]	[379, 58, 563]
8	3A	0.464	0.246	0.368	[464, 110, 426]	[246, 0, 754]	[368, 61, 571]
8	4	0.379	0.261	0.247	[379, 92, 529]	[261, 0, 739]	[247, 0, 753]
8	4A	0.462	0.238	0.412	[462, 90, 448]	[238, 0, 762]	[412, 62, 526]
8	5	0.36	0.233	0.251	[360, 94, 546]	[233, 0, 767]	[251, 0, 749]
8	5A	0.432	0.23	0.395	[432, 94, 474]	[230, 0, 770]	[395, 45, 560]
8	6	0.336	0.239	0.241	[671, 171, 1158]	[478, 0, 1522]	[483, 28, 1489]
8	6A	0.411	0.246	0.362	[411, 102, 487]	[246, 0, 754]	[362, 49, 589]
8	7	0.333	0.25	0.266	[666, 226, 1108]	[500, 0, 1500]	[532, 120, 1348]
8	7A	0.394	0.233	0.395	[394, 104, 502]	[233, 120, 647]	[395, 83, 522]
8	8	0.386	0.233	0.318	[1157, 528, 1315]	[699, 0, 2301]	[954, 399, 1647]
8	8A	0.455	0.361	0.417	[455, 169, 376]	[361, 371, 268]	[417, 140, 443]
8	9	0.483	0.246	0.459	[1450, 363, 1187]	[737, 0, 2263]	[1378, 261, 1361]
8	9A	0.528	0.718	0.52	[528, 97, 375]	[718, 140, 142]	[520, 79, 401]
8	10	0.547	0.245	0.53	[2190, 408, 1402]	[979, 0, 3021]	[2120, 327, 1553]
8	10A	0.581	0.872	0.538	[581, 87, 332]	[872, 69, 59]	[538, 76, 386]
8	11	0.583	0.256	0.553	[2331, 351, 1318]	[1024, 0, 2976]	[2211, 276, 1513]
8	11A	0.532	0.94	0.542	[2128, 408, 1464]	[3760, 240, 0]	[2168, 336, 1496]
8	12	0.321	0.24	0.314	[2567, 619, 4814]	[1917, 0, 6083]	[2515, 467, 5018]
8	12A	0.461	0.264	0.372	[461, 113, 426]	[264, 0, 736]	[372, 68, 560]
8	13	0.313	0.244	0.306	[2191, 494, 4315]	[1706, 0, 5294]	[2141, 454, 4405]
8	13A	0.471	0.247	0.385	[471, 103, 426]	[247, 0, 753]	[385, 55, 560]
8	14	0.287	0.251	0.288	[2011, 533, 4456]	[1756, 0, 5244]	[2016, 417, 4567]
8	14A	0.432	0.248	0.366	[432, 98, 470]	[248, 0, 752]	[366, 66, 568]
8	15	0.264	0.242	0.277	[1583, 408, 4009]	[1453, 0, 4547]	[1663, 297, 4040]
8	15A	0.426	0.229	0.399	[426, 102, 472]	[229, 0, 771]	[399, 66, 535]
8	16	0.214	0.236	0.243	[1284, 343, 4373]	[1418, 0, 4582]	[1461, 364, 4175]
8	16A	0.421	0.225	0.427	[421, 100, 479]	[225, 0, 775]	[427, 49, 524]
8	17	0.216	0.24	0.232	[1080, 307, 3613]	[1202, 670, 3128]	[1161, 252, 3587]
8	17A	0.413	0.233	0.373	[413, 110, 477]	[233, 121, 646]	[373, 91, 536]
8	18	0.207	0.368	0.189	[1037, 103, 3860]	[1841, 1843, 1316]	[946, 116, 3938]
8	18A	0.476	0.362	0.406	[476, 140, 384]	[362, 368, 270]	[406, 159, 435]
8	19	0.141	0.752	0.141	[564, 60, 3376]	[3008, 472, 520]	[564, 28, 3408]
